=== Page 1 (Unit 1) ALL Spans ===
Page size: 595.2 x 841.8
Total blocks: 36

Idx      B   L   S |      x0      y0      x1      y1 | font                       size | text
329     27  34   0 |   320.1   674.4   343.6   686.2 | SimSun                     11.8 | 展现
330     27  35   0 |   406.9   683.3   419.8   695.1 | Cambria                    11.8 | 78
331     27  35   1 |   419.8   683.3   425.6   695.1 | Cambria                    11.8 |  
332     27  35   2 |   425.6   683.3   449.8   695.1 | Cambria                    11.8 | keep
333     27  36   0 |   498.6   674.4   507.9   686.2 | Cambria                    11.8 | 1 
334     27  36   1 |   507.9   673.7   531.4   685.5 | SimSun                     11.8 | 保持
335     28   0   0 |    59.9   698.3    73.8   713.4 | MicrosoftYaHei             11.8 | 21
336     28   0   1 |    73.8   701.0    83.0   712.8 | Cambria                    11.8 |  
337     28   0   2 |    83.0   701.0   101.5   712.8 | Cambria                    11.8 | life 
338     28   1   0 |   147.5   692.2   156.7   703.9 | Cambria                    11.8 | 1 
339     28   1   1 |   156.8   691.5   180.3   703.2 | SimSun                     11.8 | 生活
340     28   2   0 |   214.8   692.2   227.7   703.9 | Cambria                    11.8 | 48
341     28   3   0 |   237.3   692.2   261.9   703.9 | Cambria                    11.8 | child
342     28   4   0 |   320.1   692.2   343.6   703.9 | SimSun                     11.8 | 孩子
343     28   5   0 |   498.6   692.2   507.9   703.9 | Cambria                    11.8 | 2 
344     28   5   1 |   507.9   691.5   531.4   703.2 | SimSun                     11.8 | 留下
345     28   6   0 |   147.5   709.8   156.7   721.5 | Cambria                    11.8 | 2 
346     28   6   1 |   156.8   709.1   180.3   720.8 | SimSun                     11.8 | 生命
347     28   7   0 |   214.8   718.8   227.7   730.6 | Cambria                    11.8 | 49
348     28   8   0 |   237.3   718.8   253.8   730.6 | Cambria                    11.8 | see
349     28   9   0 |   320.1   709.8   331.8   721.5 | Cambria                    11.8 | 1  
350     28   9   1 |   331.9   709.1   355.4   720.8 | SimSun                     11.8 | 看见
351     28  10   0 |   406.9   709.8   419.8   721.5 | Cambria                    11.8 | 79
352     28  10   1 |   419.8   709.8   425.6   721.5 | Cambria                    11.8 |  
353     28  10   2 |   425.6   709.8   451.1   721.5 | Cambria                    11.8 | price
354     28  11   0 |   498.6   709.8   522.2   721.6 | SimSun                     11.8 | 价格
355     28  12   0 |    59.9   724.9    73.8   740.1 | MicrosoftYaHei             11.8 | 22
356     28  12   1 |    73.8   727.6    83.0   739.4 | Cambria                    11.8 |  
357     28  12   2 |    83.0   727.6   145.7   739.3 | Cambria                    11.8 | according to
358     28  12   3 |   145.7   726.9   171.1   739.5 | SimSun                     11.8 |  根据
359     28  13   0 |   320.1   727.6   329.2   739.3 | Cambria                    11.8 | 2 
360     28  13   1 |   329.2   726.9   352.7   738.6 | SimSun                     11.8 | 明白
361     29   0   0 |   406.9   745.3   419.8   757.1 | Cambria                    11.8 | 80
362     29   0   1 |   419.8   745.3   425.6   757.1 | Cambria                    11.8 |  
363     29   0   2 |   425.6   745.3   446.0   757.1 | Cambria                    11.8 | cost
364     30   0   0 |   498.6   727.6   505.1   739.3 | Cambria                    11.8 | 1
365     30   0   1 |   505.3   726.9   528.8   738.6 | SimSun                     11.8 | 成本
366     31   0   0 |    59.9   742.7    73.8   757.8 | MicrosoftYaHei             11.8 | 23
367     31   0   1 |    73.8   745.3    83.0   757.2 | Cambria                    11.8 |  
368     31   0   2 |    83.0   745.3   123.5   757.1 | Cambria                    11.8 | because
369     31   1   0 |   147.5   745.5   171.1   757.2 | SimSun                     11.8 | 因为
370     31   2   0 |   214.8   754.3   227.7   766.1 | Cambria                    11.8 | 50
371     31   3   0 |   237.3   754.3   265.2   766.1 | Cambria                    11.8 | study
372     31   4   0 |   320.1   745.3   329.2   757.1 | Cambria                    11.8 | 1 
373     31   4   1 |   329.2   744.6   352.7   756.4 | SimSun                     11.8 | 学习
374     31   5   0 |   498.6   745.3   505.1   757.1 | Cambria                    11.8 | 2
375     31   5   1 |   505.3   744.6   528.8   756.4 | SimSun                     11.8 | 花费
376     32   0   0 |    59.9   760.4    73.8   775.6 | MicrosoftYaHei             11.8 | 24
377     32   0   1 |    73.8   763.2    83.0   775.0 | Cambria                    11.8 |  
378     32   0   2 |    83.0   763.2   103.2   775.0 | Cambria                    11.8 | also
379     32   1   0 |   147.5   763.2   183.1   775.0 | SimSun                     11.8 | 也，还
380     32   2   0 |   320.1   763.2   329.2   775.0 | Cambria                    11.8 | 2 
381     32   2   1 |   329.2   762.5   352.7   774.3 | SimSun                     11.8 | 研究
382     32   3   0 |   498.6   763.2   505.1   775.0 | Cambria                    11.8 | 3
383     32   3   1 |   505.3   762.5   528.8   774.3 | SimSun                     11.8 | 代价
384     33   0   0 |    59.9   778.2    73.8   793.4 | MicrosoftYaHei             11.8 | 25
385     33   0   1 |    73.8   780.8    83.0   792.7 | Cambria                    11.8 |  
386     33   0   2 |    83.0   780.8   110.9   792.6 | Cambria                    11.8 | mean
387     33   1   0 |   147.5   780.9   182.8   792.6 | SimSun                     11.8 | 意味着
388     33   2   0 |   214.8   780.8   227.7   792.6 | Cambria                    11.8 | 51
389     33   3   0 |   237.3   780.8   287.1   792.6 | Cambria                    11.8 | education
390     33   4   0 |   320.1   780.9   343.6   792.6 | SimSun                     11.8 | 教育

Total spans: 391
